chinese_path,english_path,chinese_filename_is_chinese,english_has_no_language_suffix,directory_separated,switch_header_ok,internal_links_same_language,dead_links,utf8_ok,secret_scan_ok,overall_ok
docs/中文/系统架构.md,docs/English/architecture.md,True,True,True,True,True,0,True,True,True
docs/中文/备份与恢复.md,docs/English/backup-and-recovery.md,True,True,True,True,True,0,True,True,True
docs/中文/部署指南.md,docs/English/deployment.md,True,True,True,True,True,0,True,True,True
docs/中文/硬件说明.md,docs/English/hardware.md,True,True,True,True,True,0,True,True,True
docs/中文/接线说明.md,docs/English/wiring.md,True,True,True,True,True,0,True,True,True
docs/中文/红外学习.md,docs/English/ir-learning.md,True,True,True,True,True,0,True,True,True
docs/中文/MQTT协议.md,docs/English/mqtt-protocol.md,True,True,True,True,True,0,True,True,True
docs/中文/运维指南.md,docs/English/operations-guide.md,True,True,True,True,True,0,True,True,True
docs/中文/低配置服务器部署.md,docs/English/resource-constrained-deployment.md,True,True,True,True,True,0,True,True,True
docs/中文/定时任务.md,docs/English/scheduling.md,True,True,True,True,True,0,True,True,True
docs/中文/安全模型.md,docs/English/security-model.md,True,True,True,True,True,0,True,True,True
docs/中文/温度自动控制.md,docs/English/temperature-automation.md,True,True,True,True,True,0,True,True,True
docs/中文/故障排查.md,docs/English/troubleshooting.md,True,True,True,True,True,0,True,True,True
docs/中文/文档导航.md,docs/English/README.md,True,True,True,True,True,0,True,True,True
docs/中文/安全策略.md,docs/English/security.md,True,True,True,True,True,0,True,True,True
docs/中文/参与贡献.md,docs/English/contributing.md,True,True,True,True,True,0,True,True,True
docs/中文/行为准则.md,docs/English/code-of-conduct.md,True,True,True,True,True,0,True,True,True
docs/中文/支持说明.md,docs/English/support.md,True,True,True,True,True,0,True,True,True
docs/中文/更新日志.md,docs/English/changelog.md,True,True,True,True,True,0,True,True,True
docs/中文/第三方许可说明.md,docs/English/third-party-notices.md,True,True,True,True,True,0,True,True,True
docs/中文/Apache-2.0许可证参考译文.md,,True,N/A,True,True,True,0,True,True,True
